,OP134_C1_20230609-150121.spc
190,27456.3671875
191,27568.119140625
192,27716.169921875
193,27900.3828125
194,28121.197265625
195,28385.00390625
196,28709.009765625
197,29122.009765625
198,29658.876953125
199,30349.587890625
200,31206.26171875
201,32212.654296875
202,33319.58984375
203,34447.01953125
204,35493.1484375
205,36348.93359375
206,36916.734375
207,37130.01953125
208,36969.96875
209,36473.09375
210,35725.20703125
211,34842.7265625
212,33945.74609375
213,33132.83203125
214,32465.37109375
215,31966.119140625
216,31628.44140625
217,31429.958984375
218,31343.623046875
219,31342.712890625
220,31400.951171875
221,31491.24609375
222,31585.970703125
223,31659.298828125
224,31690.041015625
225,31663.185546875
226,31569.712890625
227,31405.9296875
228,31173.701171875
229,30881.94140625
230,30548.201171875
231,30198.181640625
232,29862.197265625
233,29569.03515625
234,29339.52734375
235,29182.30859375
236,29093.728515625
237,29061.61328125
238,29071.275390625
239,29111.072265625
240,29175.21875
241,29262.646484375
242,29372.74609375
243,29500.287109375
244,29632.57421875
245,29750.779296875
246,29835.35546875
247,29872.853515625
248,29860.494140625
249,29805.5
250,29719.541015625
251,29611.41796875
252,29482.591796875
253,29328.341796875
254,29143.91015625
255,28931.3125
256,28702.0234375
257,28473.0546875
258,28258.7109375
259,28063.244140625
260,27879.501953125
261,27694.6328125
262,27499.43359375
263,27295.232421875
264,27093.953125
265,26911.419921875
266,26758.525390625
267,26635.9296875
268,26535.150390625
269,26444.55078125
270,26355.62109375
271,26265.5859375
272,26175.50390625
273,26086.685546875
274,25998.94140625
275,25912.169921875
276,25829.5546875
277,25759.07421875
278,25711.208984375
279,25693.93359375
280,25708.322265625
281,25747.85546875
282,25802.009765625
283,25861.619140625
284,25922.5234375
285,25985.443359375
286,26053.001953125
287,26126.6328125
288,26205.849609375
289,26290.203125
290,26381.98828125
291,26487.087890625
292,26612.57421875
293,26762.0234375
294,26931.078125
295,27106.095703125
296,27266.912109375
297,27392.958984375
298,27470.1484375
299,27495.8984375
300,27480.068359375
301,27441.822265625
302,27403.638671875
303,27384.904296875
304,27397.41796875
305,27444.302734375
306,27521.91796875
307,27623.48828125
308,27742.466796875
309,27874.392578125
310,28017.0078125
311,28169.4140625
312,28331.07421875
313,28501.01953125
314,28676.888671875
315,28853.375
316,29020.3203125
317,29161.748046875
318,29257.40625
319,29287.4765625
320,29239.111328125
321,29111.806640625
322,28918.19140625
323,28679.111328125
324,28415.1484375
325,28139.267578125
326,27855.021484375
327,27561.701171875
328,27263.087890625
329,26973.865234375
330,26718.708984375
331,26523.82421875
332,26405.6015625
333,26363.212890625
334,26379.744140625
335,26431.013671875
336,26496.3359375
337,26564.720703125
338,26633.470703125
339,26701.166015625
340,26760.6015625
341,26796.61328125
342,26790.125
343,26725.6171875
344,26597.529296875
345,26412.49609375
346,26187.041015625
347,25942.359375
348,25698.61328125
349,25470.150390625
350,25262.447265625
351,25071.599609375
352,24887.064453125
353,24697.560546875
354,24498.2578125
355,24295.89453125
356,24108.271484375
357,23957.466796875
358,23859.48046875
359,23815.73046875
360,23810.986328125
361,23819.4921875
362,23815.84375
363,23785.0546875
364,23726.654296875
365,23651.345703125
366,23572.705078125
367,23499.0859375
368,23430.1171875
369,23359.048828125
370,23278.869140625
371,23188.005859375
372,23092.208984375
373,23001.568359375
374,22924.8515625
375,22864.6796875
376,22816.380859375
377,22771.0390625
378,22720.693359375
379,22662.544921875
380,22599.771484375
381,22539.001953125
382,22486.283203125
383,22444.193359375
384,22411.75390625
385,22386.88671875
386,22369.56640625
387,22363.384765625
388,22374.162109375
389,22405.873046875
390,22455.755859375
391,22511.4609375
392,22552.583984375
393,22557.02734375
394,22510.09375
395,22412.205078125
396,22280.54296875
397,22143.001953125
398,22026.55078125
399,21945.779296875
400,21897.6484375
401,21865.47265625
402,21829.19921875
403,21775.970703125
404,21704.890625
405,21624.14453125
406,21543.72265625
